時間,年份,月份,日期,Aircraft_Type,對照中文,機型分類,Num,Coordinates
20220801,2022,8,1,æ®²-16æ©,殲-16機,戰鬥機,4,"['LINESTRING (117.34340910487488 23.303783641699997, 117.98196048709184 22.57873433632909, 118.0752320373033 22.663206100061625, 117.443855389718 23.38121609178815)']"
20220802,2022,8,2,æ®²-16æ©,殲-16機,戰鬥機,10,"['LINESTRING (117.23578808540012 23.240429818900598, 117.95326154856522 22.57873433632909, 117.86716473298542 22.487223258952184, 117.1640407390836 23.14187942787931)', 'LINESTRING (117.21426388150516 21.98039267655699, 117.69497110182579 21.98039267655699, 117.69497110182579 21.839606403669436, 117.21426388150516 21.839606403669436)', 'LINESTRING (117.22143861613681 21.712898758070637, 117.69497110182579 21.712898758070637, 117.69497110182579 21.586191112471838, 117.22143861613681 21.586191112471838)', 'LINESTRING (117.22143861613681 21.45244415322866, 117.70214583645743 21.45244415322866, 117.70214583645743 21.33277582127424, 117.22143861613681 21.33277582127424)', 'LINESTRING (117.21426388150516 21.170871607453556, 117.70214583645743 21.170871607453556, 117.70214583645743 21.051203275499134, 117.21426388150516 21.051203275499134)']"
20220802,2022,8,2,ç©ºè­¦-500æ©,空警-500機,空中預警機,1,"['LINESTRING (117.23578808540012 23.240429818900598, 117.95326154856522 22.57873433632909, 117.86716473298542 22.487223258952184, 117.1640407390836 23.14187942787931)', 'LINESTRING (117.21426388150516 21.98039267655699, 117.69497110182579 21.98039267655699, 117.69497110182579 21.839606403669436, 117.21426388150516 21.839606403669436)', 'LINESTRING (117.22143861613681 21.712898758070637, 117.69497110182579 21.712898758070637, 117.69497110182579 21.586191112471838, 117.22143861613681 21.586191112471838)', 'LINESTRING (117.22143861613681 21.45244415322866, 117.70214583645743 21.45244415322866, 117.70214583645743 21.33277582127424, 117.22143861613681 21.33277582127424)', 'LINESTRING (117.21426388150516 21.170871607453556, 117.70214583645743 21.170871607453556, 117.70214583645743 21.051203275499134, 117.21426388150516 21.051203275499134)']"
20220802,2022,8,2,æ®²-11æ©,殲-11機,戰鬥機,8,"['LINESTRING (117.23578808540012 23.240429818900598, 117.95326154856522 22.57873433632909, 117.86716473298542 22.487223258952184, 117.1640407390836 23.14187942787931)', 'LINESTRING (117.21426388150516 21.98039267655699, 117.69497110182579 21.98039267655699, 117.69497110182579 21.839606403669436, 117.21426388150516 21.839606403669436)', 'LINESTRING (117.22143861613681 21.712898758070637, 117.69497110182579 21.712898758070637, 117.69497110182579 21.586191112471838, 117.22143861613681 21.586191112471838)', 'LINESTRING (117.22143861613681 21.45244415322866, 117.70214583645743 21.45244415322866, 117.70214583645743 21.33277582127424, 117.22143861613681 21.33277582127424)', 'LINESTRING (117.21426388150516 21.170871607453556, 117.70214583645743 21.170871607453556, 117.70214583645743 21.051203275499134, 117.21426388150516 21.051203275499134)']"
20220802,2022,8,2,é-9éä¿¡å°ææ©,運-9通信對抗機,電戰機,1,"['LINESTRING (117.23578808540012 23.240429818900598, 117.95326154856522 22.57873433632909, 117.86716473298542 22.487223258952184, 117.1640407390836 23.14187942787931)', 'LINESTRING (117.21426388150516 21.98039267655699, 117.69497110182579 21.98039267655699, 117.69497110182579 21.839606403669436, 117.21426388150516 21.839606403669436)', 'LINESTRING (117.22143861613681 21.712898758070637, 117.69497110182579 21.712898758070637, 117.69497110182579 21.586191112471838, 117.22143861613681 21.586191112471838)', 'LINESTRING (117.22143861613681 21.45244415322866, 117.70214583645743 21.45244415322866, 117.70214583645743 21.33277582127424, 117.22143861613681 21.33277582127424)', 'LINESTRING (117.21426388150516 21.170871607453556, 117.70214583645743 21.170871607453556, 117.70214583645743 21.051203275499134, 117.21426388150516 21.051203275499134)']"
20220802,2022,8,2,é-8é»åµæ©,運-8電偵機,偵察機、反潛偵察機、電戰機,1,"['LINESTRING (117.23578808540012 23.240429818900598, 117.95326154856522 22.57873433632909, 117.86716473298542 22.487223258952184, 117.1640407390836 23.14187942787931)', 'LINESTRING (117.21426388150516 21.98039267655699, 117.69497110182579 21.98039267655699, 117.69497110182579 21.839606403669436, 117.21426388150516 21.839606403669436)', 'LINESTRING (117.22143861613681 21.712898758070637, 117.69497110182579 21.712898758070637, 117.69497110182579 21.586191112471838, 117.22143861613681 21.586191112471838)', 'LINESTRING (117.22143861613681 21.45244415322866, 117.70214583645743 21.45244415322866, 117.70214583645743 21.33277582127424, 117.22143861613681 21.33277582127424)', 'LINESTRING (117.21426388150516 21.170871607453556, 117.70214583645743 21.170871607453556, 117.70214583645743 21.051203275499134, 117.21426388150516 21.051203275499134)']"
20220803,2022,8,3,æ®²-16æ©,殲-16機,戰鬥機,5,"['LINESTRING (117.22861335076846 23.261547759833732, 118.10393097582991 22.27604384962085, 118.03935836414504 22.212690026821452, 117.1640407390836 23.219311877967463)', 'LINESTRING (120.58638915838121 25.964644199274765, 120.91642695143717 25.65491439892215, 120.78728172806746 25.507088812390215, 120.45724393501149 25.80977929909846)', 'LINESTRING (120.31374924237846 25.633796457989014, 120.65096177006608 25.33814528492515, 120.52181654669636 25.197359012037598, 120.19177875364039 25.485970871457084)']"
20220803,2022,8,3,æ®²-11æ©,殲-11機,戰鬥機,6,"['LINESTRING (117.22861335076846 23.261547759833732, 118.10393097582991 22.27604384962085, 118.03935836414504 22.212690026821452, 117.1640407390836 23.219311877967463)', 'LINESTRING (120.58638915838121 25.964644199274765, 120.91642695143717 25.65491439892215, 120.78728172806746 25.507088812390215, 120.45724393501149 25.80977929909846)', 'LINESTRING (120.31374924237846 25.633796457989014, 120.65096177006608 25.33814528492515, 120.52181654669636 25.197359012037598, 120.19177875364039 25.485970871457084)']"
20220803,2022,8,3,èæ·-30æ©,蘇愷-30機,戰鬥機,16,"['LINESTRING (117.22861335076846 23.261547759833732, 118.10393097582991 22.27604384962085, 118.03935836414504 22.212690026821452, 117.1640407390836 23.219311877967463)', 'LINESTRING (120.58638915838121 25.964644199274765, 120.91642695143717 25.65491439892215, 120.78728172806746 25.507088812390215, 120.45724393501149 25.80977929909846)', 'LINESTRING (120.31374924237846 25.633796457989014, 120.65096177006608 25.33814528492515, 120.52181654669636 25.197359012037598, 120.19177875364039 25.485970871457084)']"
20220804,2022,8,4,èæ·-30æ©,蘇愷-30機,戰鬥機,12,"['LINESTRING (120.8231554012257 26.126548413095453, 121.1603679289133 25.80977929909846, 121.04557217480689 25.68307165349966, 120.71553438175093 25.999840767496654)', 'LINESTRING (118.17567832214641 23.44456991458755, 118.51289084983402 23.155958055168064, 118.42679403425421 23.071486291435534, 118.09675624119825 23.35305883721064)', 'LINESTRING (118.0034846909868 23.28970501441124, 118.33352248404275 22.99405384134738, 118.26177513772623 22.909582077614843, 117.93173734467028 23.184115309745575)']"
20220804,2022,8,4,æ®²-11æ©,殲-11機,戰鬥機,8,"['LINESTRING (120.8231554012257 26.126548413095453, 121.1603679289133 25.80977929909846, 121.04557217480689 25.68307165349966, 120.71553438175093 25.999840767496654)', 'LINESTRING (118.17567832214641 23.44456991458755, 118.51289084983402 23.155958055168064, 118.42679403425421 23.071486291435534, 118.09675624119825 23.35305883721064)', 'LINESTRING (118.0034846909868 23.28970501441124, 118.33352248404275 22.99405384134738, 118.26177513772623 22.909582077614843, 117.93173734467028 23.184115309745575)']"
20220804,2022,8,4,æ®²-16æ©,殲-16機,戰鬥機,2,"['LINESTRING (120.8231554012257 26.126548413095453, 121.1603679289133 25.80977929909846, 121.04557217480689 25.68307165349966, 120.71553438175093 25.999840767496654)', 'LINESTRING (118.17567832214641 23.44456991458755, 118.51289084983402 23.155958055168064, 118.42679403425421 23.071486291435534, 118.09675624119825 23.35305883721064)', 'LINESTRING (118.0034846909868 23.28970501441124, 118.33352248404275 22.99405384134738, 118.26177513772623 22.909582077614843, 117.93173734467028 23.184115309745575)']"
20220805,2022,8,5,èæ·-30æ©,蘇愷-30機,戰鬥機,24,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,æ®²-11æ©,殲-11機,戰鬥機,6,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
20220805,2022,8,5,é-8é å¹²æ©,運-8遠干機,電戰機,1,"['LINESTRING (121.38995943712615 26.72489007286756, 121.72717196481375 26.422199586159316, 121.64824988386559 26.337727822426785, 121.31821209080964 26.626339681846268)', 'LINESTRING (121.14601845965001 26.44331752709245, 121.4832309873376 26.147666354028587, 121.40430890638945 26.0491159630073, 121.06709637870185 26.344767136071162)', 'LINESTRING (117.58735008235102 23.155958055168064, 118.24025093383128 22.43090874979716, 118.17567832214641 22.37459424064214, 117.52277747066616 23.1137221733018)', 'LINESTRING (117.5012532667712 23.001093154991757, 118.1182804450932 22.304201104198363, 118.06088256804 22.212690026821452, 117.42233118582304 22.95885727312549)', 'LINESTRING (117.38645751266479 22.8603068821042, 117.70214583645743 22.543537768107207, 117.65909742866754 22.487223258952184, 117.32905963561157 22.803992372949182)', 'LINESTRING (117.26448702392672 22.733599236505405, 117.58017534771938 22.43794806344154, 117.53712693992946 22.381633554286516, 117.20708914687351 22.670245413706006)']"
